,KUERZUNGEN,GDE_NAME,BETRIEBE_TOTAL,KUERZUNGEN_BETRAG_AVG,ABJ_KANTON,GDE_CLEAN
0,7.0,Aeugst am Albis,14,303.2355769230769,ZH,Aeugst am Albis
1,16.0,Affoltern am Albis,23,361.0006329113924,ZH,Affoltern am Albis
2,10.0,Bonstetten,14,270.6190476190476,ZH,Bonstetten
3,29.0,Hausen am Albis,45,320.23936170212767,ZH,Hausen am Albis
4,6.0,Hedingen,13,109.02682926829269,ZH,Hedingen
5,14.0,Kappel am Albis,24,255.98987341772153,ZH,Kappel am Albis
6,15.0,Knonau,23,218.28809523809525,ZH,Knonau
7,6.0,Maschwanden,20,240.51470588235293,ZH,Maschwanden
8,17.0,Mettmenstetten,44,187.5092356687898,ZH,Mettmenstetten
9,11.0,Obfelden,18,181.83307692307693,ZH,Obfelden
10,6.0,Ottenbach,12,141.87613636363636,ZH,Ottenbach
11,6.0,Rifferswil,20,218.51333333333332,ZH,Rifferswil
12,4.0,Stallikon,14,63.829787234042556,ZH,Stallikon
13,5.0,Adlikon,20,74.7298611111111,ZH,Adlikon
14,3.0,Benken (ZH),18,15.21875,ZH,Benken
15,8.0,Berg am Irchel,22,56.0655737704918,ZH,Berg am Irchel
16,7.0,Buch am Irchel,22,91.81282051282051,ZH,Buch am Irchel
17,2.0,Dorf,8,13.571428571428571,ZH,Dorf
18,7.0,Flaach,30,308.8366666666667,ZH,Flaach
19,4.0,Andelfingen,12,45.242553191489364,ZH,Andelfingen
20,5.0,Henggart,10,185.7935483870968,ZH,Henggart
21,9.0,Kleinandelfingen,28,66.67391304347827,ZH,Kleinandelfingen
22,16.0,Laufen-Uhwiesen,15,616.6607843137255,ZH,Laufen-Uhwiesen
23,9.0,Marthalen,36,64.55118110236221,ZH,Marthalen
24,10.0,Oberstammheim,28,161.18872549019608,ZH,Oberstammheim
25,7.0,Ossingen,27,188.53367346938774,ZH,Ossingen
26,11.0,Thalheim an der Thur,17,213.29117647058823,ZH,Thalheim an der Thur
27,5.0,Trüllikon,24,23.373863636363637,ZH,Trüllikon
28,3.0,Truttikon,19,228.12542372881356,ZH,Truttikon
29,13.0,Unterstammheim,25,193.05185185185186,ZH,Unterstammheim
30,5.0,Volken,14,26.323529411764707,ZH,Volken
31,5.0,Waltalingen,28,28.044554455445546,ZH,Waltalingen
32,4.0,Bassersdorf,9,53.21111111111111,ZH,Bassersdorf
33,6.0,Bülach,24,154.10786516853932,ZH,Bülach
34,5.0,Eglisau,25,71.32098765432099,ZH,Eglisau
35,11.0,Embrach,22,400.15125,ZH,Embrach
36,12.0,Freienstein-Teufen,20,329.12428571428575,ZH,Freienstein-Teufen
37,9.0,Glattfelden,18,384.140350877193,ZH,Glattfelden
38,3.0,Hochfelden,10,83.9986111111111,ZH,Hochfelden
39,4.0,Höri,10,188.97222222222223,ZH,Höri
40,11.0,Kloten,18,437.26363636363635,ZH,Kloten
41,3.0,Lufingen,7,82.0,ZH,Lufingen
42,14.0,Nürensdorf,19,207.00307692307692,ZH,Nürensdorf
43,7.0,Oberembrach,31,122.40135135135135,ZH,Oberembrach
44,14.0,Rafz,26,126.92777777777778,ZH,Rafz
45,15.0,Wil (ZH),22,330.474,ZH,Wil
46,5.0,Winkel,14,127.91203703703704,ZH,Winkel
47,12.0,Bachs,25,177.40361445783134,ZH,Bachs
48,3.0,Boppelsen,9,60.393478260869564,ZH,Boppelsen
49,1.0,Buchs (ZH),9,9.285714285714286,ZH,Buchs
50,2.0,Dällikon,9,16.05925925925926,ZH,Dällikon
51,4.0,Dänikon,8,725.9538461538461,ZH,Dänikon
52,2.0,Hüttikon,7,14.285714285714286,ZH,Hüttikon
53,8.0,Neerach,16,524.3219298245614,ZH,Neerach
54,4.0,Niederglatt,11,183.15,ZH,Niederglatt
55,7.0,Niederhasli,25,94.8425925925926,ZH,Niederhasli
56,13.0,Niederweningen,23,554.7407894736842,ZH,Niederweningen
