,GDE_GEMEINDE_NR,GDE_NAME,GDE_CLEAN,ABJ_KANTON,multiple_cutbacks
0,1,Aeugst am Albis,Aeugst am Albis,ZH,1.0
1,2,Affoltern am Albis,Affoltern am Albis,ZH,1.0
2,4,Hausen am Albis,Hausen am Albis,ZH,1.0
3,6,Kappel am Albis,Kappel am Albis,ZH,2.0
4,11,Ottenbach,Ottenbach,ZH,1.0
5,39,Thalheim an der Thur,Thalheim an der Thur,ZH,1.0
6,56,Embrach,Embrach,ZH,1.0
7,58,Glattfelden,Glattfelden,ZH,1.0
8,62,Kloten,Kloten,ZH,1.0
9,67,Rafz,Rafz,ZH,1.0
10,71,Wil (ZH),Wil,ZH,1.0
11,81,Bachs,Bachs,ZH,1.0
12,85,Dänikon,Dänikon,ZH,1.0
13,88,Neerach,Neerach,ZH,1.0
14,89,Niederglatt,Niederglatt,ZH,1.0
15,91,Niederweningen,Niederweningen,ZH,2.0
16,93,Oberweningen,Oberweningen,ZH,1.0
17,96,Regensdorf,Regensdorf,ZH,1.0
18,100,Stadel,Stadel,ZH,1.0
19,101,Steinmaur,Steinmaur,ZH,2.0
20,111,Bäretswil,Bäretswil,ZH,1.0
21,112,Bubikon,Bubikon,ZH,1.0
22,114,Fischenthal,Fischenthal,ZH,1.0
23,117,Hinwil,Hinwil,ZH,2.0
24,121,Wetzikon (ZH),Wetzikon,ZH,1.0
25,153,Hombrechtikon,Hombrechtikon,ZH,3.0
26,159,Uetikon am See,Uetikon am See,ZH,1.0
27,172,Fehraltorf,Fehraltorf,ZH,2.0
28,173,Hittnau,Hittnau,ZH,1.0
29,177,Pfäffikon,Pfäffikon,ZH,1.0
30,178,Russikon,Russikon,ZH,1.0
31,196,Mönchaltorf,Mönchaltorf,ZH,1.0
32,198,Uster,Uster,ZH,1.0
33,214,Dägerlen,Dägerlen,ZH,3.0
34,219,Elsau,Elsau,ZH,1.0
35,220,Hagenbuch,Hagenbuch,ZH,1.0
36,223,Neftenbach,Neftenbach,ZH,1.0
37,230,Winterthur,Winterthur,ZH,3.0
38,231,Zell (ZH),Zell,ZH,1.0
39,250,Urdorf,Urdorf,ZH,1.0
40,295,Horgen,Horgen,ZH,1.0
41,297,Bauma,Bauma,ZH,3.0
42,298,Wiesendangen,Wiesendangen,ZH,2.0
43,303,Grossaffoltern,Grossaffoltern,BE,4.0
44,304,Kallnach,Kallnach,BE,3.0
45,305,Kappelen,Kappelen,BE,1.0
46,306,Lyss,Lyss,BE,1.0
47,307,Meikirch,Meikirch,BE,3.0
48,309,Radelfingen,Radelfingen,BE,1.0
49,310,Rapperswil (BE),Rapperswil,BE,3.0
50,311,Schüpfen,Schüpfen,BE,3.0
51,312,Seedorf (BE),Seedorf,BE,1.0
52,322,Auswil,Auswil,BE,1.0
53,325,Busswil bei Melchnau,Busswil bei Melchnau,BE,1.0
54,326,Gondiswil,Gondiswil,BE,4.0
55,329,Langenthal,Langenthal,BE,1.0
56,331,Lotzwil,Lotzwil,BE,2.0
57,332,Madiswil,Madiswil,BE,2.0
58,333,Melchnau,Melchnau,BE,2.0
59,335,Oeschenbach,Oeschenbach,BE,1.0
60,339,Rohrbachgraben,Rohrbachgraben,BE,3.0
61,342,Thunstetten,Thunstetten,BE,1.0
62,351,Bern,Bern,BE,1.0
63,352,Bolligen,Bolligen,BE,2.0
64,354,Kirchlindach,Kirchlindach,BE,2.0
65,355,Köniz,Köniz,BE,4.0
66,357,Oberbalm,Oberbalm,BE,1.0
67,358,Stettlen,Stettlen,BE,1.0
68,359,Vechigen,Vechigen,BE,4.0
69,360,Wohlen bei Bern,Wohlen bei Bern,BE,2.0
