,GDE_NAME,KANTON,mean,count_to50k,count_50to150k,count_150to250k,count_from250k,GDE_CLEAN,mean_clean
0,Aeugst am Albis,ZH,57465.88846153847,8.0,4.0,1.0,0.0,Aeugst am Albis,57466
1,Affoltern am Albis,ZH,46837.4775,13.0,7.0,0.0,0.0,Affoltern am Albis,46837
2,Bonstetten,ZH,53752.63181818181,6.0,5.0,0.0,0.0,Bonstetten,53753
3,Hausen am Albis,ZH,64002.022580645156,13.0,16.0,2.0,0.0,Hausen am Albis,64002
4,Hedingen,ZH,54367.744999999995,4.0,6.0,0.0,0.0,Hedingen,54368
5,Kappel am Albis,ZH,60305.771052631586,8.0,11.0,0.0,0.0,Kappel am Albis,60306
6,Knonau,ZH,45068.078571428574,12.0,9.0,0.0,0.0,Knonau,45068
7,Maschwanden,ZH,66129.65624999999,8.0,7.0,1.0,0.0,Maschwanden,66130
8,Mettmenstetten,ZH,46601.67972972972,26.0,11.0,0.0,0.0,Mettmenstetten,46602
9,Obfelden,ZH,47537.31249999999,11.0,5.0,0.0,0.0,Obfelden,47537
10,Ottenbach,ZH,57496.41363636364,6.0,5.0,0.0,0.0,Ottenbach,57496
11,Rifferswil,ZH,46650.93,10.0,5.0,0.0,0.0,Rifferswil,46651
12,Stallikon,ZH,106641.76818181817,2.0,7.0,2.0,0.0,Stallikon,106642
13,Adlikon,ZH,42633.50882352941,11.0,6.0,0.0,0.0,Adlikon,42634
14,Benken (ZH),ZH,44605.073333333334,11.0,4.0,0.0,0.0,Benken,44605
15,Berg am Irchel,ZH,42849.71923076923,8.0,5.0,0.0,0.0,Berg am Irchel,42850
16,Buch am Irchel,ZH,67694.21578947369,7.0,12.0,0.0,0.0,Buch am Irchel,67694
17,Dorf,ZH,58001.45,4.0,3.0,0.0,0.0,Dorf,58001
18,Flaach,ZH,55416.130000000005,11.0,9.0,0.0,0.0,Flaach,55416
19,Andelfingen,ZH,52076.27727272727,7.0,4.0,0.0,0.0,Andelfingen,52076
20,Henggart,ZH,43654.90625,5.0,3.0,0.0,0.0,Henggart,43655
21,Kleinandelfingen,ZH,39505.55,16.0,6.0,0.0,0.0,Kleinandelfingen,39506
22,Laufen-Uhwiesen,ZH,38615.275,10.0,2.0,0.0,0.0,Laufen-Uhwiesen,38615
23,Marthalen,ZH,52259.59666666668,16.0,13.0,1.0,0.0,Marthalen,52260
24,Oberstammheim,ZH,38931.229629629626,20.0,7.0,0.0,0.0,Oberstammheim,38931
25,Ossingen,ZH,47766.63913043478,10.0,13.0,0.0,0.0,Ossingen,47767
26,Thalheim an der Thur,ZH,40857.6088235294,13.0,4.0,0.0,0.0,Thalheim an der Thur,40858
27,Trüllikon,ZH,51438.515,10.0,10.0,0.0,0.0,Trüllikon,51439
28,Truttikon,ZH,37289.66071428571,11.0,3.0,0.0,0.0,Truttikon,37290
29,Unterstammheim,ZH,73861.27894736842,11.0,7.0,0.0,1.0,Unterstammheim,73861
30,Volken,ZH,30450.08636363637,10.0,1.0,0.0,0.0,Volken,30450
31,Waltalingen,ZH,44880.752173913046,16.0,7.0,0.0,0.0,Waltalingen,44881
32,Bassersdorf,ZH,82531.61666666665,3.0,5.0,1.0,0.0,Bassersdorf,82532
33,Bülach,ZH,62531.94047619047,11.0,9.0,0.0,1.0,Bülach,62532
34,Eglisau,ZH,37766.612499999996,12.0,8.0,0.0,0.0,Eglisau,37767
35,Embrach,ZH,48814.08,11.0,9.0,0.0,0.0,Embrach,48814
36,Freienstein-Teufen,ZH,43926.95588235295,13.0,4.0,0.0,0.0,Freienstein-Teufen,43927
37,Glattfelden,ZH,57274.94642857143,6.0,8.0,0.0,0.0,Glattfelden,57275
38,Hochfelden,ZH,58895.2111111111,5.0,4.0,0.0,0.0,Hochfelden,58895
39,Höri,ZH,44674.0,5.0,4.0,0.0,0.0,Höri,44674
40,Kloten,ZH,88142.56538461537,3.0,8.0,2.0,0.0,Kloten,88143
41,Lufingen,ZH,35820.25,4.0,2.0,0.0,0.0,Lufingen,35820
42,Nürensdorf,ZH,51514.350000000006,7.0,9.0,0.0,0.0,Nürensdorf,51514
43,Oberembrach,ZH,44103.53888888889,20.0,7.0,0.0,0.0,Oberembrach,44104
44,Rafz,ZH,42523.42499999998,15.0,7.0,0.0,0.0,Rafz,42523
45,Wil (ZH),ZH,52837.11944444444,8.0,10.0,0.0,0.0,Wil,52837
46,Winkel,ZH,49439.95384615385,7.0,6.0,0.0,0.0,Winkel,49440
47,Bachs,ZH,45254.538095238095,15.0,6.0,0.0,0.0,Bachs,45255
48,Boppelsen,ZH,52547.625,2.0,2.0,0.0,0.0,Boppelsen,52548
49,Buchs (ZH),ZH,45718.42142857143,5.0,2.0,0.0,0.0,Buchs,45718
50,Dällikon,ZH,45081.857142857145,4.0,3.0,0.0,0.0,Dällikon,45082
51,Dänikon,ZH,34909.200000000004,5.0,1.0,0.0,0.0,Dänikon,34909
52,Hüttikon,ZH,29488.47857142857,6.0,1.0,0.0,0.0,Hüttikon,29488
53,Neerach,ZH,52624.0,9.0,5.0,0.0,0.0,Neerach,52624
54,Niederglatt,ZH,59323.74500000001,5.0,5.0,0.0,0.0,Niederglatt,59324
55,Niederhasli,ZH,56530.919444444444,7.0,11.0,0.0,0.0,Niederhasli,56531
56,Niederweningen,ZH,41984.183333333334,11.0,7.0,0.0,0.0,Niederweningen,41984
57,Oberglatt,ZH,75777.04285714285,2.0,5.0,0.0,0.0,Oberglatt,75777
58,Oberweningen,ZH,54147.107142857145,4.0,3.0,0.0,0.0,Oberweningen,54147
59,Otelfingen,ZH,45124.24444444445,5.0,4.0,0.0,0.0,Otelfingen,45124
60,Regensdorf,ZH,59896.65312499999,8.0,7.0,1.0,0.0,Regensdorf,59897
61,Rümlang,ZH,53822.74210526317,11.0,8.0,0.0,0.0,Rümlang,53823
62,Schleinikon,ZH,47672.68125,4.0,4.0,0.0,0.0,Schleinikon,47673
63,Stadel,ZH,47133.380000000005,20.0,10.0,0.0,0.0,Stadel,47133
64,Steinmaur,ZH,45368.01041666668,19.0,4.0,1.0,0.0,Steinmaur,45368
65,Weiach,ZH,56130.1111111111,3.0,6.0,0.0,0.0,Weiach,56130
66,Bäretswil,ZH,60288.01914893619,16.0,31.0,0.0,0.0,Bäretswil,60288
67,Bubikon,ZH,56249.90166666666,15.0,14.0,1.0,0.0,Bubikon,56250
68,Dürnten,ZH,38853.015999999996,18.0,6.0,1.0,0.0,Dürnten,38853
69,Fischenthal,ZH,66831.15625000001,21.0,25.0,2.0,0.0,Fischenthal,66831
70,Gossau (ZH),ZH,59731.03815789474,17.0,20.0,1.0,0.0,Gossau,59731
71,Grüningen,ZH,43184.69615384615,16.0,10.0,0.0,0.0,Grüningen,43185
72,Hinwil,ZH,56369.75999999998,26.0,27.0,2.0,0.0,Hinwil,56370
73,Rüti (ZH),ZH,51592.38500000001,12.0,8.0,0.0,0.0,Rüti,51592
74,Seegräben,ZH,65112.658333333326,4.0,8.0,0.0,0.0,Seegräben,65113
75,Wald (ZH),ZH,53659.36666666667,37.0,32.0,0.0,0.0,Wald,53659
76,Wetzikon (ZH),ZH,65279.83095238096,10.0,11.0,0.0,0.0,Wetzikon,65280
77,Hütten,ZH,37630.695,23.0,7.0,0.0,0.0,Hütten,37631
78,Langnau am Albis,ZH,73320.95,2.0,4.0,0.0,0.0,Langnau am Albis,73321
79,Richterswil,ZH,42674.59318181817,11.0,11.0,0.0,0.0,Richterswil,42675
80,Schönenberg (ZH),ZH,44749.2423076923,24.0,15.0,0.0,0.0,Schönenberg,44749
81,Wädenswil,ZH,39232.916129032244,47.0,15.0,0.0,0.0,Wädenswil,39233
82,Herrliberg,ZH,59286.12666666666,7.0,8.0,0.0,0.0,Herrliberg,59286
83,Hombrechtikon,ZH,38269.6451923077,37.0,15.0,0.0,0.0,Hombrechtikon,38270
84,Küsnacht (ZH),ZH,52720.13947368422,11.0,8.0,0.0,0.0,Küsnacht,52720
85,Männedorf,ZH,32537.078571428574,6.0,1.0,0.0,0.0,Männedorf,32537
86,Meilen,ZH,67020.2525,8.0,11.0,0.0,1.0,Meilen,67020
87,Oetwil am See,ZH,59279.1,4.0,7.0,1.0,0.0,Oetwil am See,59279
88,Stäfa,ZH,28686.10588235294,15.0,2.0,0.0,0.0,Stäfa,28686
89,Uetikon am See,ZH,55612.850000000006,4.0,2.0,0.0,0.0,Uetikon am See,55613
90,Fehraltorf,ZH,56671.856818181805,15.0,6.0,0.0,1.0,Fehraltorf,56672
91,Hittnau,ZH,48371.22692307691,15.0,11.0,0.0,0.0,Hittnau,48371
92,Lindau,ZH,61619.12058823528,7.0,10.0,0.0,0.0,Lindau,61619
93,Pfäffikon,ZH,57686.253124999996,17.0,14.0,1.0,0.0,Pfäffikon,57686
94,Russikon,ZH,52222.935185185175,16.0,11.0,0.0,0.0,Russikon,52223
95,Weisslingen,ZH,50356.74583333333,12.0,12.0,0.0,0.0,Weisslingen,50357
96,Wila,ZH,75039.35666666666,4.0,10.0,1.0,0.0,Wila,75039
97,Wildberg,ZH,50564.6659090909,12.0,10.0,0.0,0.0,Wildberg,50565
98,Dübendorf,ZH,72200.425,3.0,7.0,0.0,0.0,Dübendorf,72200
99,Egg,ZH,58958.996969696964,17.0,16.0,0.0,0.0,Egg,58959
100,Maur,ZH,59298.00833333332,12.0,17.0,1.0,0.0,Maur,59298
101,Mönchaltorf,ZH,42589.497619047615,14.0,7.0,0.0,0.0,Mönchaltorf,42589
102,Uster,ZH,59084.19456521738,24.0,20.0,1.0,1.0,Uster,59084
103,Volketswil,ZH,57097.7875,11.0,4.0,1.0,0.0,Volketswil,57098
104,Wangen-Brüttisellen,ZH,54285.23500000001,4.0,6.0,0.0,0.0,Wangen-Brüttisellen,54285
105,Altikon,ZH,50238.9725,14.0,5.0,1.0,0.0,Altikon,50239
106,Brütten,ZH,51309.42352941175,10.0,7.0,0.0,0.0,Brütten,51309
107,Dägerlen,ZH,34906.673214285714,20.0,8.0,0.0,0.0,Dägerlen,34907
108,Dättlikon,ZH,33075.3,6.0,2.0,0.0,0.0,Dättlikon,33075
109,Dinhard,ZH,43755.16052631579,12.0,7.0,0.0,0.0,Dinhard,43755
110,Ellikon an der Thur,ZH,53643.04117647059,12.0,4.0,0.0,1.0,Ellikon an der Thur,53643
111,Elsau,ZH,43208.93055555555,13.0,5.0,0.0,0.0,Elsau,43209
112,Hagenbuch,ZH,52622.322499999995,10.0,10.0,0.0,0.0,Hagenbuch,52622
113,Hettlingen,ZH,37738.96666666667,11.0,4.0,0.0,0.0,Hettlingen,37739
114,Neftenbach,ZH,50382.445714285706,20.0,15.0,0.0,0.0,Neftenbach,50382
115,Rickenbach (ZH),ZH,43551.77812499999,12.0,3.0,1.0,0.0,Rickenbach,43552
116,Schlatt (ZH),ZH,69140.44666666666,8.0,4.0,3.0,0.0,Schlatt,69140
117,Seuzach,ZH,44582.52692307692,9.0,4.0,0.0,0.0,Seuzach,44583
118,Turbenthal,ZH,58251.24565217393,23.0,22.0,1.0,0.0,Turbenthal,58251
119,Winterthur,ZH,56948.49,26.0,23.0,1.0,0.0,Winterthur,56948
120,Zell (ZH),ZH,54592.363636363625,12.0,10.0,0.0,0.0,Zell,54592
121,Aesch (ZH),ZH,45373.97307692307,9.0,4.0,0.0,0.0,Aesch,45374
122,Birmensdorf (ZH),ZH,68696.93333333333,5.0,6.0,1.0,0.0,Birmensdorf,68697
123,Urdorf,ZH,42719.2,3.0,2.0,0.0,0.0,Urdorf,42719
124,Weiningen (ZH),ZH,39678.637500000004,6.0,2.0,0.0,0.0,Weiningen,39679
125,Zürich,ZH,76438.56521739131,13.0,7.0,2.0,1.0,Zürich,76439
126,Elgg,ZH,63156.521212121224,13.0,19.0,1.0,0.0,Elgg,63157
127,Horgen,ZH,54762.88571428571,24.0,31.0,1.0,0.0,Horgen,54763
128,Illnau-Effretikon,ZH,49585.325,32.0,24.0,0.0,0.0,Illnau-Effretikon,49585
129,Bauma,ZH,59052.251,20.0,30.0,0.0,0.0,Bauma,59052
130,Wiesendangen,ZH,51458.69673913043,28.0,17.0,1.0,0.0,Wiesendangen,51459
